Argile(%);Limon(%);Sable(%);Soil Texture
18;26;56;Sandy loam
11;20;70;Sandy loam
9;15;75;Sandy loam
11;17;72;Sandy loam
13;21;66;Sandy loam
14;17;70;Sandy loam
28;23;49;Sandy clay loam
14;17;69;Sandy loam
23;22;55;Sandy clay loam
25;19;56;Sandy clay loam
3;16;82;Loamy sand
9;13;77;Sandy loam
7;14;79;Loamy sand
15;20;65;Sandy loam
17;21;62;Sandy loam
2;18;79;Loamy sand
8;18;74;Sandy loam
14;20;66;Sandy loam
5;15;81;Loamy sand
12;17;72;Sandy loam
5;13;83;Loamy sand
5;12;84;Loamy sand
6;14;80;Loamy sand
3;10;86;Loamy sand
7;14;79;Loamy sand
4;14;82;Loamy sand
3;14;83;Loamy sand
2;12;86;Loamy sand
7;15;78;Loamy sand
4;10;86;Loamy sand
3;10;87;Sand
3;18;79;Loamy sand
5;7;88;Sand
3;9;88;Sand
5;13;81;Loamy sand
3;16;82;Loamy sand
9;20;71;Sandy loam
6;19;75;Sandy loam
5;13;82;Loamy sand
1;11;88;Sand
5;14;81;Loamy sand
18;33;48;Loam
20;34;46;Loam
22;29;49;Loam
37;23;40;Clay loam
11;20;69;Sandy loam
11;34;55;Sandy loam
18;29;53;Sandy loam
24;43;33;Loam
35;39;26;Clay loam
26;24;49;Sandy clay loam
42;40;18;Clay
26;34;41;Loam
35;29;36;Clay loam
54;28;18;Clay
51;27;22;Clay
34;34;32;Clay loam
48;32;20;Clay
23;34;43;Loam
11;22;67;Sandy loam
15;22;63;Sandy loam
13;25;62;Sandy loam
14;26;60;Sandy loam
19;22;59;Sandy loam
26;20;54;Sandy clay loam
24;24;52;Sandy clay loam
17;22;61;Sandy loam
30;21;49;Sandy clay loam
24;29;47;Loam
14;30;56;Sandy loam
16;29;56;Sandy loam
20;28;52;Loam
22;40;38;Loam
36;22;42;Clay loam
26;30;44;Loam
9;14;77;Sandy loam
8;17;76;Sandy loam
16;20;64;Sandy loam
16;15;68;Sandy loam
41;16;43;Clay
7;13;80;Loamy sand
31;20;49;Sandy clay loam
34;23;43;Clay loam
31;19;50;Sandy clay loam
28;21;52;Sandy clay loam
38;21;41;Clay loam
14;21;65;Sandy loam
30;19;50;Sandy clay loam
35;20;46;Sandy clay loam
22;21;57;Sandy clay loam
26;19;55;Sandy clay loam
8;15;77;Sandy loam
12;16;72;Sandy loam
26;19;54;Sandy clay loam
32;19;49;Sandy clay loam
30;17;53;Sandy clay loam
26;19;54;Sandy clay loam
28;24;47;Sandy clay loam
15;30;55;Sandy loam
29;26;45;Clay loam
15;21;63;Sandy loam
27;23;50;Sandy clay loam
4;13;83;Loamy sand
34;22;44;Clay loam
29;21;50;Sandy clay loam
24;21;55;Sandy clay loam
29;23;48;Sandy clay loam
28;18;55;Sandy clay loam
19;17;64;Sandy loam
16;18;66;Sandy loam
41;11;48;Sandy clay
8;18;74;Sandy loam
31;13;56;Sandy clay loam
31;24;45;Clay loam
37;18;45;Sandy clay
27;21;52;Sandy clay loam
24;16;60;Sandy clay loam
9;15;76;Sandy loam
44;15;41;Clay
24;13;63;Sandy clay loam
11;12;78;Sandy loam
20;16;64;Sandy loam
21;17;62;Sandy clay loam
14;8;77;Sandy loam
28;16;56;Sandy clay loam
34;13;52;Sandy clay loam
36;22;42;Clay loam
13;17;70;Sandy loam
40;15;45;Clay
33;19;47;Sandy clay loam
31;23;46;Sandy clay loam
32;21;47;Sandy clay loam
8;26;66;Sandy loam
9;25;66;Sandy loam
21;31;48;Loam
9;29;62;Sandy loam
30;33;37;Clay loam
6;27;67;Sandy loam
15;25;60;Sandy loam
8;26;66;Sandy loam
38;28;34;Clay loam
12;31;57;Sandy loam
7;22;72;Sandy loam
24;34;42;Loam
9;26;66;Sandy loam
10;32;58;Sandy loam
6;25;69;Sandy loam
35;30;36;Clay loam
7;25;68;Sandy loam
16;28;56;Sandy loam
8;18;75;Sandy loam
12;19;69;Sandy loam
15;36;49;Loam
8;28;64;Sandy loam
6;25;70;Sandy loam
9;19;72;Sandy loam
8;32;61;Sandy loam
11;30;58;Sandy loam
11;23;67;Sandy loam
31;42;28;Clay loam
10;25;66;Sandy loam
9;36;54;Sandy loam
24;44;32;Loam
52;29;19;Clay
8;20;72;Sandy loam
29;30;41;Clay loam
18;42;39;Loam
12;38;50;Loam
8;17;74;Sandy loam
13;29;58;Sandy loam
47;18;35;Clay
